City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
120,Tongchuan,CN,2021-04-08 11:33:55,35.0806,109.0897,56.34,45,67,6.06
121,Bhusawal,IN,2021-04-08 11:33:55,21.05,75.7667,104.14,9,11,12.37
122,Atambua,ID,2021-04-08 11:33:56,-9.1061,124.8925,73.62,88,73,1.79
123,Pantai Remis,MY,2021-04-08 11:33:56,4.4557,100.6288,86.0,79,20,5.75
124,Alofi,NU,2021-04-08 11:33:56,-19.0595,-169.9187,69.8,100,1,7.43
125,Broken Hill,AU,2021-04-08 11:33:57,-31.95,141.4333,78.8,17,79,8.05
126,Rolla,US,2021-04-08 11:33:57,37.9514,-91.7713,45.0,76,90,10.36
127,Traverse City,US,2021-04-08 11:33:55,44.7631,-85.6206,60.8,77,40,5.75
128,Hamilton,US,2021-04-08 11:31:20,39.1834,-84.5333,64.0,67,90,8.05
129,Tiksi,RU,2021-04-08 11:33:58,71.6872,128.8694,-12.14,100,96,3.11
130,Boali,CF,2021-04-08 11:33:58,4.8005,18.1275,77.0,94,75,9.22
131,Kaeo,NZ,2021-04-08 11:33:59,-35.1,173.7833,61.0,94,90,4.34
132,Svetlogorsk,BY,2021-04-08 11:33:59,52.6333,29.7333,44.31,44,69,16.58
133,Teguise,ES,2021-04-08 11:34:00,29.0605,-13.564,69.8,73,20,5.75
134,Zhengjiatun,CN,2021-04-08 11:34:00,43.5064,123.5064,44.33,21,0,5.01
135,Saint George,US,2021-04-08 11:34:01,37.1041,-113.5841,53.6,22,1,0.51
136,Tuatapere,NZ,2021-04-08 11:34:01,-46.1333,167.6833,48.0,93,2,4.38
137,Henties Bay,NA,2021-04-08 11:34:01,-22.116,14.2845,72.03,63,1,9.86
138,Katangli,RU,2021-04-08 11:34:02,51.7102,143.2326,26.1,84,100,19.73
139,Santa Marta,CO,2021-04-08 11:31:56,11.2408,-74.199,81.0,100,75,4.61
140,Yellowknife,CA,2021-04-08 11:29:13,62.456,-114.3525,6.8,85,90,17.27
141,Jiangyou,CN,2021-04-08 11:34:02,31.7667,104.7167,59.23,73,99,2.66
