City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
167,Banjar,ID,-8.19,114.9675,82.4,83,40,6.91,scattered clouds
168,Tacoronte,ES,28.4769,-16.4102,64.99,94,75,17.27,broken clouds
169,Dikson,RU,73.5069,80.5464,-16.33,100,100,7.34,overcast clouds
170,San Fernando,PH,15.0286,120.6898,87.8,62,75,2.3,broken clouds
171,Ribeira Grande,PT,38.5167,-28.7,61.68,89,37,7.94,scattered clouds
172,Fredericton,CA,45.9454,-66.6656,39.2,70,1,4.61,clear sky
173,Pafos,CY,34.7667,32.4167,51.8,76,14,8.05,few clouds
174,Requena,ES,39.4883,-1.1004,53.01,94,100,1.99,overcast clouds
175,Sarkand,KZ,45.41,79.9186,53.38,35,0,0.69,clear sky
176,Carberry,CA,49.8689,-99.3602,28.4,80,90,9.22,overcast clouds
177,Adeje,ES,28.1227,-16.726,68.0,83,20,4.61,few clouds
178,Bethel,US,41.3712,-73.414,60.8,55,90,5.75,overcast clouds
179,Kilinochchi,LK,9.3961,80.3982,78.76,83,100,4.74,overcast clouds
180,Lethem,GY,3.3803,-59.7968,79.36,77,80,3.53,broken clouds
181,Vao,NC,-22.6667,167.4833,74.84,79,77,20.22,broken clouds
182,Manta,EC,-0.95,-80.7333,77.0,78,40,4.61,scattered clouds
183,Lasa,IT,46.6166,10.7002,36.0,74,75,6.91,light snow
184,Hualmay,PE,-11.0964,-77.6139,67.1,84,92,7.34,overcast clouds
185,Lorengau,PG,-2.0226,147.2712,83.7,71,68,5.26,broken clouds
186,Khani,GE,41.9563,42.9566,44.6,81,0,5.75,clear sky
187,Mahibadhoo,MV,3.7833,72.9667,83.03,68,70,9.4,broken clouds
188,Kloulklubed,PW,7.0419,134.2556,77.0,94,90,24.16,heavy intensity rain
189,Brylivka,UA,46.4248,33.1472,48.2,100,75,13.42,broken clouds
190,San Quintin,MX,30.4833,-115.95,57.24,69,80,16.6,broken clouds
191,Nisia Floresta,BR,-6.0911,-35.2086,78.8,94,20,3.44,few clouds
192,Talakan,RU,50.3167,130.3667,37.96,31,11,3.74,few clouds
193,Saldanha,ZA,-33.0117,17.9442,68.0,56,53,3.44,broken clouds
194,Pangnirtung,CA,66.1451,-65.7125,-9.8,98,94,5.12,overcast clouds
195,Petoa,HN,15.2667,-88.2833,80.6,83,75,3.44,broken clouds
196,Khash,IR,28.2211,61.2158,61.54,48,11,2.3,few clouds
197,Nuuk,GL,64.1835,-51.7216,23.0,93,90,25.32,light snow
198,Olinda,BR,-8.0089,-34.8553,78.8,83,75,5.75,broken clouds
199,Saijo,JP,33.9167,133.1833,60.8,44,0,10.36,clear sky
200,Monterey,US,36.2505,-121.2516,57.2,67,90,13.8,overcast clouds
201,Cabedelo,BR,-6.9811,-34.8339,77.0,100,20,4.61,few clouds
202,Torbay,CA,47.6666,-52.7314,33.01,93,90,11.5,light snow
203,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,73.8,86,100,2.13,overcast clouds
204,Jining,CN,35.405,116.5814,63.54,49,69,16.44,broken clouds
205,Obihiro,JP,42.9172,143.2044,46.4,36,40,12.66,scattered clouds
206,Mount Gambier,AU,-37.8333,140.7667,59.0,77,75,18.41,broken clouds
207,Yar-Sale,RU,66.8333,70.8333,31.98,97,100,8.7,light snow
208,Cedro,BR,-6.6067,-39.0622,70.72,96,100,2.68,heavy intensity rain
209,Cornwall,CA,45.0181,-74.7281,50.0,70,1,3.27,clear sky
210,Hami,CN,42.8,93.45,53.64,12,1,11.83,clear sky
211,Sao Joao Da Barra,BR,-21.6403,-41.0511,69.85,77,22,9.35,few clouds
212,Wanning,CN,18.8003,110.3967,81.68,69,93,8.52,overcast clouds
213,Massa Marittima,IT,43.049,10.8928,48.0,57,8,4.43,clear sky
214,Moranbah,AU,-22.0016,148.0466,81.64,28,4,11.92,clear sky
215,Pala,TD,9.3642,14.9046,85.14,18,100,4.03,overcast clouds
216,Rio Grande,BR,-32.035,-52.0986,68.07,73,46,15.3,scattered clouds
217,Guerrero Negro,MX,27.9769,-114.0611,58.68,74,71,18.23,broken clouds
218,Ixtapa,MX,20.7,-105.2,77.0,78,1,5.75,clear sky
219,Tuatapere,NZ,-46.1333,167.6833,62.01,74,100,5.99,overcast clouds
220,Port Macquarie,AU,-31.4333,152.9167,80.01,42,16,1.99,few clouds
221,Mundo Nuevo,MX,18.7,-95.5,80.11,73,100,10.51,overcast clouds
222,Alexandria,EG,31.2156,29.9553,59.0,82,0,4.61,clear sky
223,Bonavista,CA,48.6499,-53.1147,32.0,93,7,2.3,clear sky
224,Koupela,BF,12.1794,-0.3517,88.12,31,31,7.23,scattered clouds
225,Port Hardy,CA,50.6996,-127.4199,53.6,62,20,14.97,few clouds
226,Mandera,KE,3.9366,41.867,81.86,64,94,13.82,overcast clouds
227,Vardo,NO,70.3705,31.1107,32.59,71,37,21.92,light snow
